theme,location,duration,startDate,startTime,endDate,endTime,img src,link,organizer,tags
【高雄01/06】仁頡喜劇專場：《我朋友的孩子都長大了》,80,2024.01.06(六) 19:00,2024-01-06,19:00,-,-,https://t.kfs.io/upload_images/185073/1_medium.jpg,https://comedyclub.kktix.cc/events/betterme202340106,卡米地 comedy club,-
《漫才日曜日》一月號,台北,2024.01.14(日) 19:30,2024-01-14,19:30,-,-,https://t.kfs.io/upload_images/186769/%E6%BC%AB%E6%89%8D%E6%97%A5%E6%9B%9C%E6%97%A51205_1200_630_medium.png,https://comedyclub.kktix.cc/events/manzaitwsunday0114,卡米地 comedy club,-
【台中01/20】仁頡喜劇專場：《我朋友的孩子都長大了》,40,2024.01.20(六) 20:00,2024-01-20,20:00,-,-,https://t.kfs.io/upload_images/185075/1_medium.jpg,https://comedyclub.kktix.cc/events/betterme202340120,卡米地 comedy club,-
【1/26】一場喜劇演員的告白：這就是喜劇？,台北,2024.01.26(五) 20:00,2024-01-26,20:00,-,-,https://t.kfs.io/upload_images/184144/%E9%80%99%E5%B0%B1%E6%98%AF%E5%96%9C%E5%8A%87_%E6%A9%AB_01_medium.png,https://comedyclub.kktix.cc/events/whatiscomedy0126,卡米地 comedy club,-
【1/27】一場喜劇演員的告白：這就是喜劇？,台北,2024.01.27(六) 20:00,2024-01-27,20:00,-,-,https://t.kfs.io/upload_images/184145/%E9%80%99%E5%B0%B1%E6%98%AF%E5%96%9C%E5%8A%87_%E6%A9%AB_01_medium.png,https://comedyclub.kktix.cc/events/whatiscomedy0127,卡米地 comedy club,-
