theme,location,duration,startDate,startTime,endDate,endTime,img src,link,organizer,tags
【港人監修】廣東話基礎班 - 秋冬課,新北,2023.09.21 (四) 19:00 - 12.31 (日) 20:00,2023-09-21,19:00,2023-12-31,20:00,https://static.accupass.com/eventbanner/2309210313218472530440_P520x260.jpg,https://www.accupass.com/event/2309210258034694279070?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,療寮生活館 chitchat life,"['粵語', '廣東話', '香港文化', '台北廣東話', '語言學習']"
2023北投小戲節,台北,2023.12.02 (六) 00:00 - 12.25 (一) 00:00,2023-12-02,00:00,2023-12-25,00:00,https://static.accupass.com/eventbanner/2311200319282083516687_P520x260.jpg,https://www.accupass.com/event/2311021313521891919269?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,山峸製作設計公司,['covid-free']
【大辣20周年】61chi、常勝、麥人杰｜聯合創作分享&簽書活動,台中,2023.12.16 (六) 15:00 - 16:30,2023-12-16,15:00,2023-12-16,16:30,https://static.accupass.com/eventbanner/2311200940371142586105_P520x260.jpg,https://www.accupass.com/event/2311200944531337756096?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,大辣出版,"['漫畫', '61chi', '常勝', '大辣出版', '麥人杰']"
瞎胖廣播劇團《戀愛OX》現場廣播劇讀劇,台北,2023.12.17 (日) 13:00 - 20:00,2023-12-17,13:00,2023-12-17,20:00,https://static.accupass.com/eventbanner/2311221254349652354770_P520x260.jpg,https://www.accupass.com/event/2311190843237615409900?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,瞎胖廣播劇團,"['廣播劇', '瞎胖廣播劇團', '現場廣播劇', '讀劇', '配音']"
「神鬼人間道：小劇場 — 蔓生．變形．連結」論壇,台北,2023.12.23 (六) 10:00 - 18:30,2023-12-23,10:00,2023-12-23,18:30,https://static.accupass.com/eventbanner/2311080103061997913291_P520x260.jpg,https://www.accupass.com/event/2311080112531863266252?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,ex-亞洲劇團,"['神鬼人間道', '華山', '小劇場', '亞洲', '藝術未來']"
台北成人/兒童音樂劇工作坊,台北,2024.03.16 (六) 10:00 - 03.24 (日) 21:30,2024-03-16,10:00,2024-03-24,21:30,https://static.accupass.com/eventbanner/2309280317031860678410_P520x260.jpg,https://www.accupass.com/event/2309280322361813164943?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_,lamt musical,"['covid-free', '音樂劇', '歌舞劇', '表演', '音樂', '聲樂']"
